선발,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,투구,barrel,타율,LG,KIA,KT,키움,두산,한화,NC,롯데,삼성,SSG,홈경기수,원정경기수,장타
4,16,1,3,0,0,0,3,0,0,0,0,0,0,3,1,0,0,71,1.8347685381089256,0.2294624189920797,0.1652314618910744,0.0,0.0,2.0,0.1652314618910744,1.6695370762178512,0.0,2.669537076217851,0.8347685381089256,0.0,5.504305614326777,2.0,0.6363636363636364
4,16,1,3,0,0,0,3,0,0,0,0,0,0,3,1,0,0,71,1.5294107736179081,0.21868508612769086,0.4705892263820919,0.0,0.0,2.0,0.4705892263820919,1.0588215472358162,0.0,2.0588215472358162,0.5294107736179081,0.0,4.588232320853725,2.0,0.6363636363636364
4,14,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,70,1.0,0.2002103924802744,0.9975454210634656,0.002454578936534446,0.002454578936534446,1.995090842126931,0.9975454210634656,0.004909157873068892,0.004909157873068892,0.9975454210634656,0.0,0.0,2.9975454210634656,2.0024545789365344,0.7730061349693251
4,16,1,3,0,0,0,3,0,0,0,0,0,0,3,1,0,0,71,1.536571636909847,0.21893782247917107,0.463428363090153,0.0,0.0,2.0,0.463428363090153,1.073143273819694,0.0,2.073143273819694,0.536571636909847,0.0,4.609714910729541,2.0,0.6363636363636364
15,53,9,12,1,0,3,23,10,0,0,7,0,1,14,1,0,0,242,7.008777599316772,0.23860318429312083,3.203511039726709,2.6017555198633544,1.5929779205465828,1.8052665595900628,0.7964889602732914,2.3982444801366456,0.7964889602732914,1.8052665595900628,1.0,1.8052665595900628,9.601755519863355,8.203511039726708,0.9130434782608696
13,52,10,11,2,0,1,19,9,0,0,5,1,0,13,2,0,1,240,4.458798454224105,0.2239373106551707,1.7706007728879474,1.5412015457758947,3.7706007728879474,0.6881976813361579,2.2293992271120526,2.7706007728879474,1.5412015457758947,0.0,1.2293992271120526,0.6881976813361579,9.0,7.229399227112053,0.6363636363636364
15,53,8,13,1,0,3,24,10,0,0,7,0,1,14,1,0,0,242,7.611549575187093,0.24633686247409853,3.4446198300748367,2.7223099150374184,1.110760339850326,2.1669297451122556,0.555380169925163,2.2776900849625816,0.555380169925163,2.1669297451122556,1.0,2.1669297451122556,9.72230991503742,8.444619830074837,0.9130434782608696
12,51,9,12,2,0,1,19,9,0,0,5,1,0,13,2,0,1,240,4.871131990966413,0.24545036474607368,1.5644340045167937,1.1288680090335874,3.5644340045167935,1.3066979864496189,2.4355659954832065,2.5644340045167935,1.1288680090335874,0.0,1.4355659954832063,1.3066979864496189,9.0,7.4355659954832065,0.6363636363636364
15,53,8,13,1,0,3,26,10,0,0,7,0,1,14,1,0,0,242,8.435338699864262,0.25690623237561694,3.7741354799457048,2.8870677399728524,0.4517290401085905,2.661203219918557,0.22586452005429525,2.1129322600271476,0.22586452005429525,2.661203219918557,1.0,2.661203219918557,9.887067739972853,8.774135479945706,0.9130434782608696
15,53,8,13,1,0,3,26,10,0,0,7,0,1,14,1,0,0,242,8.779580699434852,0.2613229221814283,3.9118322797739404,2.95591613988697,0.17633544045211869,2.867748419660911,0.08816772022605934,2.04408386011303,0.08816772022605934,2.867748419660911,1.0,2.867748419660911,9.95591613988697,8.911832279773941,0.9130434782608696
