,NAME,PCODE,Date,선발,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,투구,barrel,타율,LG,KIA,KT,키움,두산,한화,NC,롯데,삼성,SSG,홈경기수,원정경기수,장타,출루,OPS
147,박준태,61173,2018-08-02,19,75,9,22,2,0,0,23,11,0,1,9,0,0,9,0,2,1,354,7.944279420721106,0.2942030283132599,0.0,0.0,2.9706699022025345,2.995236761175742,3.000632316261409,0.0,2.0203078852756393,2.0138963337523177,2.985718967933584,2.9868966675935447,7.960694834413044,11.046642999124867,0.2513563103476024,0.5731480515142182,0.8054017649967572
148,박준태,61151,2018-08-02,19,74,9,22,2,0,0,24,10,1,1,8,0,0,10,0,2,2,355,8.005985800845579,0.2881348527034178,0.03860806694424094,0.02533585900086351,3.0028103699573037,2.9957050194641575,2.9619753240518634,0.0,1.9893883614001484,1.9961646639731565,3.025338874524868,2.989394153151486,7.989695841216027,11.001661718391848,0.24987082594485477,0.572457814744709,0.8293457338954132
149,박준태,61101,2018-08-02,19,75,10,21,1,0,0,24,10,0,2,8,1,0,9,0,2,1,355,7.941136128385703,0.28999384798992806,0.0,0.0,2.9899197522556165,2.975225325048749,3.0038687364920724,0.0,1.9920249624162703,2.033056868775704,2.9723345336068725,2.9967094949303323,7.990044268688036,10.943431750464423,0.2676612981345501,0.5682064548003602,0.8337490051412028
150,박준태,61017,2018-08-02,19,75,10,21,1,0,0,24,11,0,2,9,0,0,9,0,2,1,354,7.982884515538665,0.2928696138194358,0.0,0.0,2.985632904618429,3.027803828699953,3.053328290187879,0.005303033368882672,1.982870358539177,1.975080845500142,2.985701333288446,3.0366149424214366,8.04364581283023,10.96480531594948,0.2450970986079328,0.5695223814206626,0.8221675815433406
151,박준태,61394,2018-08-02,19,75,9,21,1,0,0,24,11,1,1,9,1,0,9,0,2,2,354,7.969584693384311,0.2917311487354402,0.0604743922947195,0.0,2.954642668925858,2.9973609960179943,3.0334630272301606,0.0,1.9905424884778562,2.038312478139129,2.9944179548580485,3.0079390694993813,7.969844490090974,10.917593985316659,0.26230871083684715,0.5741413306167101,0.8268559216796001
152,박준태,60987,2018-08-02,18,74,10,21,1,0,0,23,10,1,2,9,1,0,10,0,1,1,354,8.025857658388272,0.299583619629052,0.016320225329170233,0.0,2.9739500958579144,2.998330225893518,2.968425808074819,0.05782866704787582,1.9866885323678285,1.9881082220031465,3.0625801858742783,2.939526540380038,8.02723014021271,10.948388719824788,0.24933465730214185,0.5653045723115959,0.8065523517958093
153,박준태,61383,2018-08-02,18,75,9,21,1,0,0,23,11,1,2,8,0,0,10,0,2,1,353,8.002679949443873,0.29420410866047175,0.00046802241999149103,0.02740984071941889,2.9894888246023523,3.0177515221290054,3.01015647780836,0.0,2.00097919920527,1.99227229307497,3.0078403365662325,3.0227918742381337,8.062405668904814,11.021465999096526,0.2600349486089345,0.5742082893081755,0.8176960442800097
154,박준태,61234,2018-08-02,18,75,10,22,1,0,0,24,11,1,2,8,1,0,9,0,1,2,353,7.96276499189723,0.2929239461832703,0.019490433219762664,0.013298285865738538,2.966702944072993,3.015413353377889,2.9920005659754865,0.0,2.027288334764223,2.0186425914136015,2.959897645104343,3.028136411159495,7.951279904304904,10.932394139121781,0.25315365328209016,0.5691975487403097,0.8307191715551512
155,박준태,61122,2018-08-02,19,75,10,21,2,0,0,24,10,0,2,8,0,0,10,0,1,1,355,7.99936541997255,0.29586945363448874,0.0,0.0,2.9881460732142715,3.023469759030881,2.9989937858097115,0.0,1.9976392736611113,2.005660061729643,3.020150690883079,3.0048533813090024,7.967959487927813,11.019233622594655,0.2500964956233494,0.5760840400272786,0.8324762873712
156,박준태,61603,2018-08-02,18,75,10,22,1,0,0,23,10,1,1,8,0,0,10,0,2,2,355,8.083446074895512,0.29607959036598147,0.0,0.03209238173408101,3.005050016711963,2.991395359130763,2.99992206132031,0.009961778280763514,2.0027738432890767,1.9872736496017953,2.9865639030778834,2.9678828428239363,7.917634912507441,11.06297636362146,0.25153387107634056,0.5724648119723819,0.8432127465226927
