NAME,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9
WO김재현,0.17391304347826086,0.2727272727272727,0.18181818181818182,0.2857142857142857,0.5,0.25,0.3333333333333333,0.34615384615384615,0.35714285714285715,0.3333333333333333
강민호,0.3333333333333333,0.3611111111111111,0.4117647058823529,0.4375,0.4166666666666667,0.53125,0.3125,0.3125,0.5,0.6451612903225806
강백호,0.6363636363636364,0.391304347826087,0.425,0.5238095238095238,0.35135135135135137,0.3783783783783784,0.45454545454545453,0.47368421052631576,0.5555555555555556,0.42424242424242425
구자욱,0.6222222222222222,0.4,0.375,0.5365853658536586,0.7083333333333334,0.5897435897435898,0.36585365853658536,0.5384615384615384,0.3488372093023256,0.5
권희동,0.4878048780487805,0.43902439024390244,0.7027027027027027,0.4482758620689655,0.5,0.225,0.4857142857142857,0.22580645161290322,0.5526315789473685,0.18181818181818182
김규민,0.25,0.25,0.16666666666666666,0.46153846153846156,0.3939393939393939,0.5,0.34285714285714286,0.2,0.35135135135135137,0.41025641025641024
김동엽,0.2962962962962963,0.2608695652173913,0.26666666666666666,0.3225806451612903,0.25806451612903225,0.5384615384615384,0.34285714285714286,0.35294117647058826,0.4117647058823529,0.5526315789473685
김민성,0.41379310344827586,0.35135135135135137,0.4375,0.3142857142857143,0.5384615384615384,0.5428571428571428,0.5,0.38461538461538464,0.42424242424242425,0.2857142857142857
김민식,0.35714285714285715,0.3333333333333333,0.2857142857142857,0.5714285714285714,0.4827586206896552,0.2,0.18181818181818182,0.2857142857142857,0.42857142857142855,0.24242424242424243
김상수,0.2972972972972973,0.5277777777777778,0.30303030303030304,0.375,0.2702702702702703,0.36363636363636365,0.3170731707317073,0.3076923076923077,0.11428571428571428,0.525
김선빈,0.3225806451612903,0.40540540540540543,0.5882352941176471,0.40540540540540543,0.5555555555555556,0.37142857142857144,0.23684210526315788,0.42857142857142855,0.34285714285714286,0.3448275862068966
김성욱,0.1875,0.47058823529411764,0.3793103448275862,0.3142857142857143,0.34285714285714286,0.3333333333333333,0.6666666666666666,0.3125,0.5238095238095238,0.5517241379310345
김성현,0.47058823529411764,0.4722222222222222,0.21428571428571427,0.45161290322580644,0.36,0.40540540540540543,0.2857142857142857,0.45454545454545453,0.3055555555555556,0.3142857142857143
김성훈,0.5357142857142857,0.4782608695652174,0.23529411764705882,0.34615384615384615,0.6666666666666666,0.25,0.0,0.6,0.19230769230769232,0.3888888888888889
김용의,0.2777777777777778,0.4,0.19047619047619047,0.42857142857142855,0.2857142857142857,0.0,0.38461538461538464,0.16666666666666666,0.2,0.0
김재호,0.3235294117647059,0.5,0.5,0.43243243243243246,0.45454545454545453,0.48148148148148145,0.5625,0.6052631578947368,0.3684210526315789,0.2916666666666667
