,선발,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,투구,barrel,타율,LG,KIA,KT,키움,두산,한화,NC,롯데,삼성,SSG,홈경기수,원정경기수,출루
0,20,80,12,20,2,0,2,31,15,0,0,8,1,0,16,0,0,0,361,9.0,0.2598909165921317,0.4799323581279975,2.0,0.4799323581279975,2.0,3.7600338209360014,2.2399661790639986,2.0,1.7600338209360014,2.0,4.520067641872003,10.280101462808004,10.479932358127998,0.46234860452869936
1,20,86,11,18,2,0,6,39,18,1,0,4,0,0,24,1,0,1,375,9.315210617568463,0.21282270527189873,2.0,2.630421235136926,2.630421235136926,2.0,2.0543681472946105,3.315210617568463,1.3695787648630737,1.315210617568463,1.3695787648630737,2.684789382431537,9.260842470273852,10.739157529726148,0.49462365591397844
2,20,78,12,21,3,0,4,39,18,0,0,9,1,0,19,2,0,2,372,6.604347797012762,0.2860585133586862,0.8021738985063809,2.0,0.8021738985063809,2.0,3.5989130507468094,2.4010869492531906,2.0,1.5989130507468094,2.0,4.197826101493619,9.796739152240429,10.80217389850638,0.46478873239436613
3,20,87,11,22,2,0,3,35,14,0,0,6,1,0,11,7,0,1,375,6.067708335942752,0.2512131347703104,2.733072916014312,2.733072916014312,0.533854167971376,0.533854167971376,0.8007812519570638,3.0,2.733072916014312,2.466145832028624,2.733072916014312,0.8007812519570638,8.733072916014311,12.0,0.46408839779005523
4,20,82,11,18,2,0,5,37,19,0,0,7,1,0,22,2,0,2,372,7.649382050092579,0.23147024167560803,1.3246910250462895,2.0,1.3246910250462895,2.0,3.337654487476855,2.662345512523145,2.0,1.3376544874768552,2.0,3.6753089749537105,9.012963462430566,11.32469102504629,0.46478873239436613
5,15,59,6,14,3,1,2,27,9,0,0,6,1,0,14,1,0,0,251,7.996027267099311,0.24586265533607746,0.8031781863205514,3.2007945465801377,3.996027267099311,2.5984109068397245,0.0,0.20079454658013784,2.7992054534198623,1.7992054534198623,1.7992054534198623,3.0,9.598410906839725,8.200794546580138,0.6923076923076923
6,15,58,9,18,3,1,0,27,8,2,0,6,0,0,8,1,0,0,249,5.286295501195038,0.3246629009422592,2.970963599043969,3.7427408997609923,1.2862955011950388,1.5145182004780156,0.0,0.7427408997609922,2.2572591002390077,1.2572591002390077,1.2572591002390077,3.0,8.514518200478015,8.742740899760992,0.6923076923076923
7,15,58,9,18,3,1,0,27,8,2,0,6,0,0,8,1,0,0,249,5.250928157257681,0.32569139956480536,2.9992574741938554,3.749814368548464,1.2509281572576807,1.5003712629030723,0.0,0.7498143685484638,2.250185631451536,1.250185631451536,1.250185631451536,3.0,8.500371262903073,8.749814368548464,0.6923076923076923
8,13,58,8,21,3,1,0,27,8,3,1,5,0,0,10,1,0,0,254,2.424708211211108,0.3572353700227109,0.849416422422216,1.637062316816662,3.150583577577784,1.0,2.362937683183338,1.787645894394446,0.424708211211108,1.0,1.0,0.637062316816662,7.212354105605554,7.424708211211108,0.46454131424853606
9,14,58,10,21,3,1,0,27,8,3,1,6,0,0,6,1,0,0,250,3.6689056068761996,0.36105304175108127,3.3378112137523996,3.5033584103143,0.6621887862476004,1.0,0.49664158968570027,1.1655471965619002,1.6689056068761998,1.0,1.0,2.5033584103143,7.8344528034381,8.6689056068762,0.4645390070921985
10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,1.0,0.039953348519160936,0.23972009111496573,0.0,0.0,0.23972009111496573,1.2397200911149657,0.0,0.7602799088850343,0.47944018222993146,0.0,0.23972009111496573,2.7191602733448974,0.47944018222993146,0.6315789473684211
11,2,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,18,0.04280538785693855,0.19857315373810205,0.04280538785693855,0.0,0.0,0.04280538785693855,0.0856107757138771,0.0,0.0,0.0856107757138771,1.914389224286123,0.04280538785693855,2.1284161635708156,2.0,0.6923076923076923
12,1,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0.04113609864963186,0.24657199177919734,2.9177278027007363,2.8765917040511044,0.0,1.0,2.0,0.0,1.9177278027007363,0.08227219729926372,0.0,0.04113609864963186,5.958863901350368,4.876591704051105,0.7627118644067796
13,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,0.9362609035540147,0.15604348392566905,0.9362609035540147,0.0,0.0637390964459853,0.9362609035540147,1.8725218071080294,0.0,0.0,1.8725218071080294,0.0,1.0,4.808782710662044,1.8725218071080294,0.49999999999999994
14,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.3862656475095505,0.06437760791825839,1.0,0.0,0.0,1.6137343524904495,2.0,0.0,0.0,0.772531295019101,0.0,0.3862656475095505,3.772531295019101,2.0,0.588235294117647
15,16,60,5,13,3,0,2,26,9,0,0,5,1,0,15,2,0,0,254,7.753784691356659,0.2268354374142772,0.20770255144055694,2.792297448559443,4.376892345678329,2.3768923456783293,0.0,0.4154051028811139,3.0,2.207702551440557,1.5845948971188861,2.792297448559443,9.584594897118887,8.207702551440557,0.5327102803738316
16,14,56,9,11,2,0,2,20,10,0,0,6,2,0,14,2,0,1,243,5.238473729714515,0.20412824576571503,1.5046105081141936,2.247694745942903,4.247694745942903,0.7430842378287097,1.5046105081141936,2.2569157621712903,2.247694745942903,0.4953894918858064,1.247694745942903,0.7430842378287097,9.247694745942903,7.247694745942903,0.4873096446700508
17,16,56,5,10,2,0,2,21,7,0,0,4,2,0,18,0,0,0,250,7.4719174236512895,0.19280038743438588,1.5280825763487105,3.0,2.4531957060854825,2.4906391412170965,1.5280825763487105,0.0,3.0,2.5093608587829035,0.981278282434193,1.4719174236512895,11.018721717565807,6.981278282434193,0.49318347382662076
18,16,54,5,9,2,0,2,19,6,0,0,4,2,0,18,0,0,0,250,6.624595425842356,0.1795665323323386,2.375404574157644,3.0,1.0409923764039264,2.2081984752807853,2.375404574157644,0.0,3.0,2.7918015247192147,0.41639695056157056,0.6245954258423558,11.58360304943843,6.4163969505615706,0.4909609895337773
19,16,63,5,14,3,0,0,18,10,1,0,4,1,0,6,0,0,4,247,6.094229275501813,0.2338187855265518,3.8743609659975826,3.0,0.15704879250302195,1.0628195170012087,0.0,0.9685902414993957,2.0314097585006046,1.0314097585006043,1.0314097585006043,3.0,7.094229275501813,8.968590241499395,0.6923076923076923
20,2,11,1,1,0,0,0,1,2,0,0,1,0,0,3,0,0,0,48,0.0,0.15234179841568773,0.6484804348548694,1.3242402174274348,0.6757597825725653,0.6757597825725653,0.0,2.703039130290261,0.3242402174274347,0.6484804348548694,0.0,1.3515195651451306,3.324240217427435,6.0272793477176965,0.48
21,2,11,1,1,0,0,0,1,2,0,0,1,0,0,3,0,0,0,48,0.0,0.14295208938100679,0.85505403361785,1.427527016808925,0.572472983191075,0.572472983191075,0.0,2.2898919327643,0.427527016808925,0.85505403361785,0.0,1.14494596638215,3.427527016808925,5.717418949573225,0.481012658227848
22,1,9,0,1,0,0,0,1,1,0,0,1,0,0,4,0,0,0,51,0.0,0.18478042913788395,0.8199031765523161,2.0,1.1800968234476839,0.0,0.0,0.0,0.4099515882761581,2.0,1.1800968234476839,0.0,2.2298547648284743,4.590048411723842,0.48
23,3,9,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,46,0.0,0.04401706109319022,0.968375344050185,0.968375344050185,0.5158123279749075,0.0,0.0,1.031624655949815,1.0,1.4841876720250924,0.0,0.0,2.9683753440501848,3.4841876720250924,0.46763540290620875
24,2,9,0,1,0,0,0,1,0,0,0,1,0,0,3,0,0,0,46,0.0,0.10797990899967025,2.0,0.30998900903264515,0.0,0.0,0.0,0.0,0.15499450451632257,0.30998900903264515,0.0,0.8450054954836774,0.6199780180652903,3.1549945045163224,0.481012658227848
25,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0.0,0.05390246817542067,1.3531703818949516,0.0,0.0,0.3234148090525242,0.0,0.0,0.0,0.0,0.3234148090525242,0.0,1.6765851909474758,0.3234148090525242,0.4676258992805755
26,1,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,14,0.0,0.1888667667070756,0.2664012004849079,0.0,0.0,0.7335987995150921,0.0,0.0,0.0,0.2664012004849079,0.7335987995150921,0.5328024009698158,1.266401200484908,1.266401200484908,1.0
27,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0.0,0.10612909262116232,1.0896763328190775,0.0,0.36322544427302583,0.6367745557269742,0.0,0.0,0.36322544427302583,0.0,0.6367745557269742,0.0,1.3632254442730258,1.7264508885460517,0.5106382978723404
28,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0.0,0.07855981388510716,1.5859233500680707,0.0,0.5286411166893569,0.47135888331064313,0.0,0.0,0.5286411166893569,0.0,0.47135888331064313,0.0,1.5286411166893568,2.0572822333787135,0.5106382978723404
29,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0.0,0.16419462713679156,0.014832237179250196,0.0,0.0,1.0,0.014832237179250196,0.0,0.0,0.014832237179250196,0.9851677628207498,0.0,1.0148322371792502,1.0148322371792502,0.4676258992805755
30,2,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,20,0.0,0.176475680844737,0.0,1.411459149315778,1.411459149315778,0.0,0.0,1.411459149315778,0.705729574657889,0.0,0.588540850684222,0.0,1.294270425342111,3.411459149315778,0.5216326530612244
31,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,0.0,0.07919802332373214,0.0,0.0,0.6040098833813393,0.0,0.0,0.0,0.0,0.0,0.7919802332373214,0.6040098833813393,2.0,0.7919802332373214,0.49999999999999994
